ts,action,sym,price,qty,notional,profit,cash,equity,score,reason
1772421402,BUY,IOTX-USD,0.0156700000,2590.3438592787,40.59,0.00,269.49,982.74,6,drift=0.028 mom=0.096 vol=0.0133 dd=-0.036
1772421611,BUY,FIS-USD,0.0173000000,1981.0667040239,34.27,0.00,235.21,983.27,6,drift=0.036 mom=0.030 vol=0.0044 dd=0.000
1772422240,SELL,IOTX-USD,0.0150200000,2590.3438592787,38.91,-1.68,274.12,1020.91,6,STOP/TRAIL
1772422307,SELL,FIS-USD,0.0170000000,1981.0667040239,33.68,-0.59,307.80,1014.69,6,STOP/TRAIL
1772423165,BUY,PLU-USD,0.1616500000,248.9981552371,40.25,0.00,267.55,980.91,6,drift=0.092 mom=0.069 vol=0.0122 dd=0.000
1772423242,SELL,PLU-USD,0.1655900000,248.9981552371,41.23,0.98,308.78,1023.13,6,STOP/TRAIL
1772423242,BUY,PLU-USD,0.1655900000,261.3740235347,43.28,0.00,265.50,981.89,7,drift=0.119 mom=0.069 vol=0.0138 dd=-0.017
1772423444,SELL,PLU-USD,0.1758500000,261.3740235347,45.96,2.68,311.46,1030.54,7,STOP/TRAIL
1772423445,BUY,PLU-USD,0.1758500000,248.5386787509,43.71,0.00,267.76,984.58,7,drift=0.163 mom=0.041 vol=0.0136 dd=-0.018
1772423466,SELL,PLU-USD,0.1719900000,248.5386787509,42.75,-0.96,310.50,1026.36,7,STOP/TRAIL
1772423546,BUY,PLU-USD,0.1750000000,232.2823882124,40.65,0.00,269.85,983.70,6,drift=0.158 mom=0.018 vol=0.0142 dd=-0.022
1772423569,SELL,PLU-USD,0.1729900000,232.2823882124,40.18,-0.47,310.04,1023.41,6,STOP/TRAIL
1772424166,SELL,DBR-USD,0.0155500000,2040.9380597359,31.74,0.55,341.77,1014.74,5,STOP/TRAIL
1772425740,BUY,SYND-USD,0.0668000000,681.4217194107,45.52,0.00,296.25,983.01,6,drift=0.049 mom=0.042 vol=0.0066 dd=0.000
1772426194,SELL,SYND-USD,0.0665000000,681.4217194107,45.31,-0.20,341.57,1028.12,6,STOP/TRAIL
1772426681,BUY,ALICE-USD,0.1500000000,303.2584077360,45.49,0.00,296.08,982.80,6,drift=0.034 mom=0.014 vol=0.0023 dd=0.000
1772426746,SELL,ALICE-USD,0.1490000000,303.2584077360,45.19,-0.30,341.26,1027.68,6,STOP/TRAIL
1772426990,BUY,ALICE-USD,0.1530000000,297.0192569073,45.44,0.00,295.82,982.50,6,drift=0.048 mom=0.027 vol=0.0052 dd=0.000
1772427455,BUY,BTRST-USD,0.0930000000,412.4426152173,38.36,0.00,257.46,984.78,6,drift=0.022 mom=0.022 vol=0.0024 dd=0.000
1772427516,SELL,ALICE-USD,0.1610000000,297.0192569073,47.82,2.38,305.28,1032.60,6,STOP/TRAIL
1772427617,BUY,ALICE-USD,0.1620000000,245.8591090141,39.83,0.00,265.45,984.78,6,drift=0.087 mom=0.019 vol=0.0072 dd=-0.006
1772427722,SELL,ALICE-USD,0.1630000000,245.8591090141,40.08,0.25,305.53,1025.10,6,STOP/TRAIL
1772428028,SELL,BTRST-USD,0.0920000000,412.4426152173,37.94,-0.41,343.47,1022.56,6,STOP/TRAIL
1772429039,BUY,EDGE-USD,0.0999800000,457.8038423024,45.77,0.00,297.70,984.61,6,drift=0.023 mom=0.021 vol=0.0029 dd=0.000
1772430143,SELL,EDGE-USD,0.0981200000,457.8038423024,44.92,-0.85,342.62,1028.68,6,STOP/TRAIL
1772430550,BUY,ALICE-USD,0.1590000000,287.0779442596,45.65,0.00,296.98,983.76,6,drift=0.039 mom=0.032 vol=0.0050 dd=0.000
1772430572,SELL,ALICE-USD,0.1570000000,287.0779442596,45.07,-0.57,342.05,1028.26,6,STOP/TRAIL
1772431419,BUY,BTRST-USD,0.0890000000,511.9162433255,45.56,0.00,296.49,983.19,6,drift=0.060 mom=0.035 vol=0.0047 dd=0.000
1772431504,SELL,BTRST-USD,0.0880000000,511.9162433255,45.05,-0.51,341.54,1027.72,6,STOP/TRAIL
1772432308,BUY,IOTX-USD,0.0150000000,3032.3263874084,45.48,0.00,296.05,982.67,6,drift=0.105 mom=0.000 vol=0.0054 dd=0.000
1772432330,BUY,ELA-USD,0.6150000000,62.4544188193,38.41,0.00,257.64,982.67,6,drift=0.042 mom=0.053 vol=0.0086 dd=0.000
1772432375,BUY,SYND-USD,0.0629000000,515.4613289671,32.42,0.00,225.22,984.23,6,drift=0.041 mom=0.013 vol=0.0033 dd=0.000
1772432395,SELL,ELA-USD,0.6260000000,62.4544188193,39.10,0.69,264.32,1022.55,6,STOP/TRAIL
1772432395,BUY,ELA-USD,0.6260000000,53.4613105782,33.47,0.00,230.85,983.45,6,drift=0.061 mom=0.072 vol=0.0111 dd=-0.022
1772432440,SELL,SYND-USD,0.0617000000,515.4613289671,31.80,-0.62,262.65,1016.51,6,STOP/TRAIL
1772432462,SELL,IOTX-USD,0.0150000000,3032.3263874084,45.48,0.00,308.14,1028.65,6,STOP/TRAIL
1772432484,SELL,ELA-USD,0.6280000000,53.4613105782,33.57,0.11,341.71,1016.42,6,STOP/TRAIL
1772432675,BUY,ELA-USD,0.6460000000,70.4501722141,45.51,0.00,296.20,982.85,6,drift=0.106 mom=0.035 vol=0.0133 dd=0.000
1772432785,SELL,ELA-USD,0.6460000000,70.4501722141,45.51,0.00,341.71,1028.36,6,STOP/TRAIL
1772434877,BUY,SYND-USD,0.0585000000,777.9625854750,45.51,0.00,296.20,982.85,6,drift=0.098 mom=0.017 vol=0.0051 dd=0.000
1772434921,SELL,SYND-USD,0.0574000000,777.9625854750,44.66,-0.86,340.86,1026.65,6,STOP/TRAIL
1772435118,SELL,TOWNS-USD,0.0033000000,9725.4128285422,32.09,-0.39,372.95,1013.80,6,STOP/TRAIL
1772436439,BUY,LRDS-USD,0.0266000000,1893.9472540719,50.38,0.00,322.57,981.70,6,drift=0.047 mom=0.047 vol=0.0069 dd=0.000
1772436768,SELL,LRDS-USD,0.0261000000,1893.9472540719,49.43,-0.95,372.00,1030.19,6,STOP/TRAIL
1772438030,BUY,SYND-USD,0.0609000000,824.9434367832,50.24,0.00,321.76,980.75,6,drift=0.065 mom=0.041 vol=0.0067 dd=0.000
1772438153,SELL,SYND-USD,0.0602000000,824.9434367832,49.66,-0.58,371.43,1029.84,6,STOP/TRAIL
1772446567,BUY,SYND-USD,0.0642000000,781.2105838720,50.15,0.00,321.27,980.18,6,drift=0.090 mom=0.030 vol=0.0081 dd=0.000
1772446655,SELL,SYND-USD,0.0627000000,781.2105838720,48.98,-1.17,370.25,1027.99,6,STOP/TRAIL
1772447810,BUY,LRDS-USD,0.0300000000,1666.0183712829,49.98,0.00,320.27,979.01,6,drift=0.079 mom=0.027 vol=0.0047 dd=0.000
1772448118,SELL,LRDS-USD,0.0320000000,1666.0183712829,53.31,3.33,373.59,1035.65,6,STOP/TRAIL
1772448118,BUY,LRDS-USD,0.0320000000,1689.9425934301,54.08,0.00,319.51,982.34,7,drift=0.139 mom=0.026 vol=0.0064 dd=-0.012
1772448228,SELL,LRDS-USD,0.0341000000,1689.9425934301,57.63,3.55,377.13,1043.51,7,STOP/TRAIL
1772448229,BUY,LRDS-USD,0.0341000000,1602.3480616445,54.64,0.00,322.49,985.89,7,drift=0.205 mom=0.033 vol=0.0096 dd=-0.012
1772448297,SELL,LRDS-USD,0.0344000000,1602.3480616445,55.12,0.48,377.62,1041.49,7,STOP/TRAIL
1772448297,BUY,LRDS-USD,0.0344000000,1484.5475311823,51.07,0.00,326.55,986.37,6,drift=0.216 mom=-0.003 vol=0.0100 dd=-0.011
